,,,,
AREA_ID,AREA_NAME,PARENT_NAME,PARENT_PARENT_Name,AREA_Parent_PP_NAME
98138,Wilson,SAN JOSE (Capital),DINAGAT ISLANDS,Wilson_SAN JOSE (Capital)_DINAGAT ISLANDS
98139,TUBAJON,DINAGAT ISLANDS,REGION XIII (Caraga),TUBAJON_DINAGAT ISLANDS_REGION XIII (Caraga)
98140,Imelda,TUBAJON,DINAGAT ISLANDS,Imelda_TUBAJON_DINAGAT ISLANDS
98141,Mabini,TUBAJON,DINAGAT ISLANDS,Mabini_TUBAJON_DINAGAT ISLANDS
98142,Malinao,TUBAJON,DINAGAT ISLANDS,Malinao_TUBAJON_DINAGAT ISLANDS
98143,Navarro,TUBAJON,DINAGAT ISLANDS,Navarro_TUBAJON_DINAGAT ISLANDS
98144,Diaz (Romualdez),TUBAJON,DINAGAT ISLANDS,Diaz (Romualdez)_TUBAJON_DINAGAT ISLANDS
98145,Roxas,TUBAJON,DINAGAT ISLANDS,Roxas_TUBAJON_DINAGAT ISLANDS
98146,San Roque (Pob.),TUBAJON,DINAGAT ISLANDS,San Roque (Pob.)_TUBAJON_DINAGAT ISLANDS
98147,San Vicente (Pob.),TUBAJON,DINAGAT ISLANDS,San Vicente (Pob.)_TUBAJON_DINAGAT ISLANDS
98148,Santa Cruz (Pob.),TUBAJON,DINAGAT ISLANDS,Santa Cruz (Pob.)_TUBAJON_DINAGAT ISLANDS
98149,Gubang,CITY OF BAYBAY,LEYTE,Gubang_CITY OF BAYBAY_LEYTE
98150,Hibunawan,CITY OF BAYBAY,LEYTE,Hibunawan_CITY OF BAYBAY_LEYTE
98151,Higuloan,CITY OF BAYBAY,LEYTE,Higuloan_CITY OF BAYBAY_LEYTE
98152,Hilapnitan,CITY OF BAYBAY,LEYTE,Hilapnitan_CITY OF BAYBAY_LEYTE
98153,Hipusngo,CITY OF BAYBAY,LEYTE,Hipusngo_CITY OF BAYBAY_LEYTE
98154,Igang,CITY OF BAYBAY,LEYTE,Igang_CITY OF BAYBAY_LEYTE
98155,Imelda,CITY OF BAYBAY,LEYTE,Imelda_CITY OF BAYBAY_LEYTE
98156,Jaena,CITY OF BAYBAY,LEYTE,Jaena_CITY OF BAYBAY_LEYTE
98157,Kabalasan,CITY OF BAYBAY,LEYTE,Kabalasan_CITY OF BAYBAY_LEYTE
98158,Kabungaan,CITY OF BAYBAY,LEYTE,Kabungaan_CITY OF BAYBAY_LEYTE
98159,Kagumay,CITY OF BAYBAY,LEYTE,Kagumay_CITY OF BAYBAY_LEYTE
98160,Kambonggan,CITY OF BAYBAY,LEYTE,Kambonggan_CITY OF BAYBAY_LEYTE
98161,Candadam,CITY OF BAYBAY,LEYTE,Candadam_CITY OF BAYBAY_LEYTE
98162,Kan-ipa,CITY OF BAYBAY,LEYTE,Kan-ipa_CITY OF BAYBAY_LEYTE
98163,Kansungka,CITY OF BAYBAY,LEYTE,Kansungka_CITY OF BAYBAY_LEYTE
